date,DryBulb,DewPnt,WetBulb,Humidity,ElecPrice,OT
2009-11-20,1331.1499999935738,844.1499999977648,1028.199999997206,2822.500000018161,54505.72,503176.52999999997
2009-11-21,1228.3500000009778,804.5499999969267,966.8499999987428,2885.4999999776483,1925.2,445266.29
2009-11-22,1435.3999999945518,787.3500000308734,1034.150000011176,2486.5000000502914,3869.5099999999998,456161.87
2009-11-23,974.0500000001397,678.0999999877065,803.1999999938532,3253.9999999469146,1420.57,426326.74
2009-11-24,936.5499999995809,741.8499999976251,821.8999999983237,3720.999999990221,1273.32,417775.18
2009-11-25,1042.6000000002794,871.5499999984634,935.6999999991618,3881.499999991618,1788.7,448457.05
2009-11-26,1114.6000000030733,900.2000000040513,978.9000000034924,3660.000000005588,6382.7,461712.33
2009-11-27,1230.2500000011175,713.900000001816,925.9500000011176,2661.999999990221,26173.29,464339.32
2009-11-28,1239.949999998184,798.3499999878462,970.7999999945517,2827.999999983236,2602.62,435660.35
2009-11-29,1194.9499999977647,422.1500000139698,791.3000000053086,2020.5000000391155,1249.6399999999999,393274.88
2009-11-30,906.0000000016764,603.9500000082422,737.00000000461,3257.5000000307336,1242.67,415929.93
2009-12-01,829.4500000033528,495.80000000628644,652.8000000043306,3103.500000012573,1147.72,406672.39
2009-12-02,870.2000000002794,512.8499999987428,679.1499999997205,3064.999999994412,1152.76,409576.36
2009-12-03,939.0499999996508,595.3000000032131,747.0000000014669,3093.000000005588,1082.71,422934.44
2009-12-04,982.1499999973457,686.450000002794,809.8000000005588,3274.5000000237487,1037.94,420169.85
2009-12-05,993.6999999991618,681.5499999983236,813.9999999988825,3205.499999994412,977.42,387362.29
2009-12-06,1058.0000000019559,815.4499999987428,910.8000000001397,3556.499999980442,977.48,385516.83
2009-12-07,1177.0000000026544,921.2,1013.0500000011176,3517.499999981839,56904.450000000004,479184.46
2009-12-08,1078.9000000005587,835.3499999945518,927.7999999970663,3531.4999999776483,13264.13,469553.11
2009-12-09,1004.1499999980442,738.6999999987427,846.699999998603,3415.500000004191,1262.26,432386.49
2009-12-10,1158.0500000044703,832.4499999956694,959.4499999990221,3269.9999999692664,1226.44,442629.64
2009-12-11,1113.250000002375,339.70000001159497,720.7000000036321,1832.000000006985,1063.63,426527.11
2009-12-12,1055.2000000071944,678.9999999958789,837.5000000013272,2992.499999969965,992.5,398462.06
2009-12-13,1108.9499999994412,845.1999999986031,945.2999999988824,3462.499999994412,1043.59,397714.89
2009-12-14,1002.499999992596,741.2499999997207,847.2999999969267,3407.5000000307336,1207.6299999999999,427535.51
2009-12-15,1061.799999999022,792.2000000033528,898.200000001397,3408.0000000223517,1404.67,440393.37
2009-12-16,1138.2000000034925,901.5999999991618,988.5000000008382,3559.999999980442,4174.3,476598.47
2009-12-17,1287.1000000005588,899.9500000030733,1040.6500000016765,3076.999999993015,39554.17,514428.63
2009-12-18,956.3500000015367,794.4000000060071,858.8000000040513,3918.5000000209548,1084.21,429978.3
2009-12-19,1049.3499999974854,652.2000000111759,827.1500000041909,3095.5000000461005,1038.65,393902.33
2009-12-20,1003.0499999991617,663.2499999991618,806.9999999993015,3077.999999994412,935.52,370876.82
2009-12-21,1069.300000000419,772.2000000064261,889.9500000039116,3274.5000000293367,1228.53,433290.69
2009-12-22,1179.2999999955296,777.4000000050291,932.8500000009778,2921.5000000321306,1408.43,460615.88
